"Name","Team","Pos","AB","R","HR","RBI","SB","AVG","FlanaprogTiering","BOSTeam","BOSPos","ALPos"
"Aaron Hicks","Min","OF",346,46,8,32,13,0.22,3,"**","","OF1"
"Abraham Almonte","Sea","OF",262,35,6,25,9,0.248,2,"**","","OF1"
"Adam Dunn","CWS","1B",434,58,28,71,1,0.217,7,"**","","1B"
"Adam Eaton","CWS","OF",538,85,8,44,21,0.267,9,"**","","OF1"
"Adam Jones","Bal","OF",607,88,30,94,13,0.286,18,"**","","OF1"
"Adam Lind","Tor","1B",499,61,23,75,1,0.274,11,"**","","1B"
"Adam Rosales","Tex","SS",222,27,6,26,2,0.229,0,"**","","SS"
"Adrian Beltre","Tex","3B",595,86,32,98,1,0.309,17,"**","","3B"
"AJ Pierzynski","Bos","C",420,45,13,58,1,0.27,4,"**","","C1"
"Albert Pujols","LAA","1B",525,79,26,90,5,0.278,15,"**","","1B"
"Alberto Callaspo","Oak","2B,3B",297,36,6,37,2,0.265,2,"**","","2B"
"Alcides Escobar","KC","SS",513,54,4,46,22,0.257,6,"**","","SS"
"Alejandro DeAza","CWS","OF",457,64,12,46,18,0.27,8,"**","","OF2"
"Alex Avila","Det","C",418,49,14,58,1,0.249,4,"**","","C1"
"Alex Gonzalez","Det","1B",133,14,4,15,1,0.227,0,"**","","1B"
"Alex Gordon","KC","OF",613,88,19,76,11,0.273,14,"**","","OF1"
"Alex Presley","Hou","OF",331,42,6,28,10,0.262,3,"**","","OF1"
"Alex Rios","Tex","OF",575,78,17,75,28,0.276,16,"**","","OF1"
"Alexei Ramirez","CWS","SS",607,67,9,60,22,0.272,10,"**","","SS"
"Alfonso Soriano","NYY","OF",498,63,27,84,10,0.247,12,"**","","OF1"
"Andrew Romine","Det","3B",191,20,1,16,7,0.245,1,"**","","3B"
"Andy Dirks DL","Det","OF",226,32,5,23,4,0.263,2,"**","","OF1"
"Anthony Gose *ML","Tor","OF",201,25,3,17,12,0.228,2,"**","","OF1"
"Asdrubal Cabrera","Cle","SS",543,73,16,73,11,0.264,11,"**","","SS"
"Austin Jackson","Det","OF",559,90,13,55,12,0.276,11,"**","","OF2"
"Avisail Garcia","CWS","OF",472,57,14,55,10,0.276,8,"**","","OF3"
"Ben Zobrist","TB","2B,SS,OF",585,86,15,76,13,0.27,13,"**","","2B"
"Billy Butler","KC","DH",584,74,20,89,2,0.292,14,"**","","DH"
"Brad Miller","Sea","SS",434,60,12,51,9,0.265,7,"**","","SS"
"Brandon Moss","Oak","1B,OF",490,73,28,81,5,0.247,11,"**","","1B"
"Brendan Ryan","NYY","SS",257,29,3,22,6,0.218,1,"**","","SS"
"Brett Gardner","NYY","OF",529,80,8,50,30,0.261,10,"**","","OF2"
"Brett Lawrie","Tor","3B",513,70,17,64,14,0.276,12,"**","","3B"
"Brian Dozier","Min","2B",550,67,15,60,14,0.25,8,"**","","2B"
"Brian McCann","NYY","C",476,61,27,79,1,0.257,10,"**","","C1"
"Brian Roberts","NYY","2B",290,33,7,37,5,0.244,1,"**","","2B"
"Byron Buxton ML","Min","OF",98,21,3,21,4,0.247,1,"**","","OF2"
"Carlos Beltran","NYY","OF",523,81,25,81,4,0.279,14,"**","","OF3"
"Carlos Santana","Cle","C,1B",529,78,23,81,4,0.258,11,"**","","C1"
"Chris Carter","Hou","1B,OF",488,68,27,79,3,0.226,10,"**","","1B"
"Chris Davis","Bal","1B",567,91,44,115,3,0.276,20,"Dakota","1B","1B"
"Chris Ianetta","LAA","C",298,37,10,36,2,0.224,1,"**","","C1"
"Coco Crisp","Oak","OF",529,84,13,58,28,0.254,12,"**","","OF1"
"Colby Rasmus","Tor","OF",479,69,23,69,3,0.256,9,"**","","OF2"
"Conor Gillaspie","CWS","3B",263,31,8,29,1,0.253,1,"**","","3B"
"Corey Hart","Sea","1B,OF",484,71,20,64,5,0.264,10,"**","","1B"
"Craig Gentry","Oak","OF",225,31,2,21,16,0.264,5,"**","","OF2"
"Daniel Nava","Bos","OF",381,55,9,48,2,0.272,4,"**","","OF1"
"Danny Valencia","KC","DH",213,24,7,29,1,0.256,1,"**","","RES1"
"Darin Mastroianni","Min","OF",110,13,1,9,8,0.224,2,"**","","OF3"
"David DeJesus","TB","OF",407,55,8,40,5,0.253,3,"**","","OF1"
"David Freese","LAA","3B",432,54,12,61,2,0.27,6,"**","","3B"
"David Lough","Bal","OF",244,29,4,26,6,0.265,3,"**","","OF2"
"David Murphy ","Cle","OF",446,54,14,52,6,0.259,5,"**","","OF1"
"David Ortiz","Bos","DH",487,77,27,89,2,0.295,15,"**","","DH"
"Dayan Viciedo","CWS","OF",388,43,15,52,1,0.261,3,"**","","OF4"
"Delmon Young","OF","Bal",221,23,7,28,0,0.264,2,"**","","DH"
"Derek Jeter","NYY","SS",421,59,7,38,7,0.273,4,"**","","MI"
"Derek Norris","Oak","C",244,35,9,32,5,0.234,2,"**","","C1"
"Desmond Jennings ","TB","OF",546,89,14,58,26,0.25,11,"**","","OF2"
"Dexter Fowler","Hou","OF",507,73,13,45,18,0.255,8,"**","","OF2"
"Dioner Navarro","Tor","C",364,42,15,49,1,0.273,4,"**","","C1"
"Don Kelly","Det","3B,OF",281,37,7,30,4,0.231,1,"**","","OF3"
"Dustin Ackley","Sea","2B,OF",417,57,7,41,6,0.259,3,"**","","2B"
"Dustin Pedroia","Bos","2B",589,88,14,75,17,0.295,15,"**","","2B"
"Eduardo Nunez","NYY","SS",272,33,3,26,15,0.257,4,"**","","DH"
"Edwin Encarnacion","Tor","1B",552,91,35,103,9,0.287,19,"**","","CI"
"Elvis Andrus","Tex","SS",602,85,4,60,35,0.277,14,"**","","MI"
"Eric Hosmer","KC","1B",597,80,20,82,14,0.29,16,"**","","1B"
